Age Ma	d18O adj	d18O 5pt	tempC	tempC_5pt
0.497	3.64	3.756	2.702944	2.32425504
0.4973	4.24	3.806	0.784864000000001	2.16218904
0.498	3.7	3.852	2.5066	2.01370656
0.5	3.79	3.874	2.213974	1.94290264
0.501	3.89	3.81	1.891494	2.149254
0.502	3.75	3.85	2.34375	2.02015
0.503	3.92	3.914	1.795296	1.81451544
0.504	3.9	4.052	1.8594	1.37501856
0.505	4.11	4.03	1.191894	1.444726
0.5057	4.58	4.032	-0.257303999999999	1.43838336
0.506	3.64	4.042	2.702944	1.40668696
0.508	3.93	4.058	1.763286	1.35603096
0.508	3.95	3.938	1.69935	1.73769816
0.511	4.19	4.014	0.940854000000001	1.49550744
0.511	3.98	4.064	1.603656	1.33705344
0.512	4.02	4.052	1.476456	1.37501856
0.513	4.18	4.05	0.972136000000003	1.38135
0.516	3.89	4.16	1.891494	1.034784
0.516	4.18	4.192	0.972136000000003	0.93460096
0.5168	4.53	4.186	-0.106073999999999	0.95336344
0.517	4.18	4.158	0.972136000000003	1.04105496
0.52	4.15	4.118	1.06615	1.16670936
0.521	3.75	4.024	2.34375	1.46376064
0.523	3.98	3.928	1.603656	1.76968576
0.524	4.06	3.87	1.349704	1.955766
0.525	3.7	3.928	2.5066	1.76968576
0.526	3.86	4.038	1.987944	1.41936216
0.528	4.04	3.998	1.413024	1.54636056
0.5295	4.53	4.042	-0.106073999999999	1.40668696
0.53	3.86	4.11	1.987944	1.191894
